ID;sexe;situation_relationnelle;duree_relation;sexe_partenaire;enceinte;partenaire_enceinte;enfants;souhait_enfant;partenaires_femmes;partenaires_hommes;grossesse_anterieure;grossesse_anterieure_partenaire;grossesse_cont_aucune;grossesse_cont_pres;grossesse_cont_autre;cont_pilule;cont_sterilet;cont_implant;cont_preservatif_masculin;cont_retrait;cont_autres;cont_aucun;nocont_inactivite;nocont_enfant_souhait;nocont_enfant_impossible;pilule_lendemain;pilule_lendemain_cause;opinion_epanouie;opinion_grossir;opinion_contrainte;opinion_difficulte_apres;opinion_sante;probleme_medical;probleme_endometriose;probleme_regles_douloureuses;probleme_acne;medecin_gyneco;medecin_effets_secondaires;medecin_benefices;medecin_risques;mutuelle;renoncement_soins;habitat_TUU2014;demo_age;demo_diplome;demo_revenus;religion_importance;religion_education;politique_gauche_droite;ponderation
0;1;1;3;2;6;3;1;2;1;0;6;1;2;2;1;2;1;2;2;2;2;2;6;6;6;1;66;2;2;1;3;2;6;6;6;6;6;6;6;6;1;2;0;4;2;9;1;2;6;0,781714518
1;1;1;3;2;6;3;1;2;1;0;6;1;1;2;2;2;2;2;1;2;2;2;6;6;6;1;66;1;3;2;2;2;6;6;6;6;6;6;6;6;1;1;3;5;4;12;2;1;8;0,944401331
2;1;1;3;2;6;3;1;2;4;0;6;1;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;5;5;3;4;2;6;6;6;6;6;6;6;6;1;2;0;4;3;11;1;2;9;0,389386873
3;1;2;6;6;6;6;2;3;20;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;1;5;5;5;5;6;6;6;6;6;6;6;6;1;1;3;7;2;6;1;1;4;0,532966796
4;1;1;3;2;6;3;2;1;15;0;6;1;2;1;2;1;2;2;2;2;2;2;6;6;6;1;66;5;5;3;5;5;6;6;6;6;6;6;6;6;1;2;3;2;3;5;3;1;1;0,616431473
5;2;1;3;1;3;6;2;2;0;2;1;6;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;1;2;3;2;5;2;2;1;2;2;6;6;6;1;2;4;5;3;7;4;1;4;1,213537019
6;2;1;3;1;3;6;2;3;0;1;1;6;1;2;2;2;2;2;2;2;1;2;6;6;6;6;3;2;2;2;2;2;1;1;2;2;1;2;1;2;1;2;0;6;4;11;2;1;9;0,741445824
7;2;1;3;1;3;6;1;2;0;5;1;6;1;2;2;2;2;2;2;1;2;2;6;6;6;1;66;2;2;1;2;5;2;2;1;2;1;2;2;1;1;2;0;4;2;11;1;2;11;0,676220482
8;1;1;3;2;6;3;1;2;25;0;6;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;2;5;3;4;4;6;6;6;6;6;6;6;6;1;2;1;5;5;12;1;2;5;0,52724346
9;2;2;6;6;3;6;2;1;0;10;2;6;6;6;6;2;2;2;2;2;2;1;1;2;2;6;2;1;3;2;5;5;2;2;1;2;1;2;2;2;1;2;3;3;5;9;3;2;4;0,297148157
10;1;1;1;2;6;3;2;1;12;0;6;2;6;6;6;2;2;2;1;2;2;2;6;6;6;6;77;4;4;5;4;4;6;6;6;6;6;6;6;6;1;2;1;5;96;96;96;96;NA;5,748238629
11;1;1;3;2;6;3;1;1;1;0;6;1;2;1;2;2;2;2;2;2;2;1;2;2;1;1;66;6;3;2;2;2;6;6;6;6;6;6;6;6;1;2;3;3;4;11;4;2;4;0,776633299
12;2;1;3;1;3;6;1;1;0;10;1;6;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;2;4;4;2;3;2;2;2;1;1;2;2;2;96;96;2;2;5;12;96;96;996;0,411770666
13;2;1;3;1;2;6;2;1;0;2;1;6;1;2;2;2;2;2;2;2;2;1;2;1;2;1;66;3;5;2;1;5;2;2;1;1;1;2;2;1;1;1;3;2;1;77;2;2;6;3,21593659
14;1;1;3;1;6;6;2;3;0;10;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;2;4;4;5;4;6;6;6;6;6;6;6;6;1;1;0;8;2;10;2;1;6;0,858221644
15;2;2;6;6;3;6;2;1;0;2;2;6;6;6;6;1;2;2;2;2;2;2;6;6;6;1;66;4;2;4;5;5;2;2;2;2;2;6;6;6;8;1;1;1;1;7;1;2;6;2,24558497
16;2;1;3;1;3;6;2;2;0;1;1;6;1;2;2;1;2;2;2;2;2;2;6;6;6;1;66;4;2;3;3;2;2;2;2;2;1;2;2;1;1;2;0;2;4;11;2;1;8;0,680262916
17;1;1;3;2;6;3;1;2;20;0;6;1;1;2;2;2;1;2;2;2;2;2;6;6;6;6;1;2;5;2;5;5;6;6;6;6;6;6;6;6;1;2;3;6;5;11;1;1;5;0,49077412
18;1;1;3;2;6;3;2;1;4;0;6;2;6;6;6;2;2;2;2;2;2;1;2;2;2;1;66;6;5;5;6;5;6;6;6;6;6;6;6;6;1;1;4;5;1;3;4;1;3;4,449433785
19;1;2;6;6;6;6;2;2;8;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;1;5;5;5;5;6;6;6;6;6;6;6;6;1;2;1;3;2;5;1;2;5;0,555423361
20;1;1;3;2;6;3;1;2;3;0;6;1;2;2;1;2;2;2;2;2;2;1;2;2;1;1;66;2;3;3;2;3;6;6;6;6;6;6;6;6;1;2;1;5;3;12;3;1;7;0,552292934
21;2;1;3;1;3;6;2;1;0;3;2;6;6;6;6;1;2;2;2;2;2;2;6;6;6;6;4;1;2;3;4;2;2;2;2;2;1;1;1;2;1;2;4;1;4;11;2;1;6;1,783398026
22;1;1;3;2;6;3;2;2;5;0;6;1;1;2;2;2;2;2;2;2;2;1;2;2;1;6;2;2;2;3;5;2;6;6;6;6;6;6;6;6;1;2;3;4;3;13;3;1;9;0,858752811
23;1;1;2;2;6;3;2;1;9;0;6;2;6;6;6;1;2;2;2;2;2;2;6;6;6;1;66;1;5;3;5;2;6;6;6;6;6;6;6;6;1;2;4;1;4;12;1;2;8;1,612593589
24;1;2;6;6;6;6;1;2;10;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;66;2;5;2;5;5;6;6;6;6;6;6;6;6;1;2;4;9;3;11;2;1;7;1,326170066
